Formula,Description,MM,CMAQ_CB06,WRFCHEM_CB06,WRFCHEM_CB06_unit
C3H6O,,58.1,ACET,e_acet,
C3H4O,,56.1,ACROLEIN,,
C2H4O,Acetaldehyde ,44,ALD2,a_ald2,
C2H4O,acetaldehyde from emissions only,44,ALD2_PRIMARY,,
ALDX,aldehydes with 3 or more carbons,58.1,ALDX,,
C6H6,,78.1,BENZ,e_benzene,
C4H6,,54,BUTADIENE13,,
CH4,,16,CH4,e_ch4,
CH4,,1,CH4_INV,,
CL2,molecular chlorine,72,CL2,e_clc,
CO,,28,CO,e_co,
CO2,,1,CO2_INV,e_co2,
C2H4,,28,ETH,e_eth,
C2H6,,30.1,ETHA,e_etha,
C2H2,,26,ETHY,e_ch2h2,
C2H6O,,46.1,ETOH,e_etoh,
CH2O,,30,FORM,e_form,
CH2O,,30,FORM_PRIMARY,,
HCL,,36.5,HCL,e_hcl,
HNO2,,47,HONO,e_hono,
IOLE,,56.1,IOLE,e_iole,
C5H8,,68.1,ISO,e_isop,"""mol km^-2 hr^-1"""
KET,,72.1,KET,e_ket,
CH4O,,32,MEOH,e_meoh,
N2O,,1,N2O_INV,,
C10H8,,128.2,NAPH,,
NH3,,17,NH3,e_nh3,
NH3,,17,NH3_FERT,,
NO,,30,NO,e_no,
NO2,,46,NO2,e_no2,
NVOL,non‐volatilespecies,1,NVOL,,
OLE,terminal alkene bond,42.1,OLE,e_ole,
Al,aluminum,1,PAL,,
PAR,carbon-carbon single bond,72.1,PAR,e_par,
Ca,calcium,1,PCA,,
Cl,chloride,1,PCL,"e_cli,e_clj",
C,Elemental carbon,1,PEC,"e_eci,e_ecj,e_ecc",
Fe,iron,1,PFE,,
PH2O,water,1,PH2O,,
K,potassium,1,PK,,
PM10,Coarse mode primary PM ,1,PMC,e_pm10,
Mg,magnesium,1,PMG,,
Mn,manganese,1,PMN,,
PMOTHR,Unspeciated PM2.5,1,PMOTHR,,
Na,Fine mode sodium ,1,PNA,e_nac,
PNCOM,non-­‐carbon organic matter,1,PNCOM,,
H4N,ammonium,1,PNH4,e_nh4c,
NO3,nitrate,1,PNO3,e_no3c,
OC,Organic carbon,1,POC,e_oc,
C3H8,propane,44.1,PRPA,e_c3h8,
Si,silica,1,PSI,,
O4S,sulfate,1,PSO4,e_so4c,
Ti,titanium,1,PTI,,
SO2,,62,SO2,e_so2,
SOAALK,tracer for alkanes that can form secondary organic aerosol,112,SOAALK,,
H2SO4,sulfuric acid (gaseous),98,SULF,,
C10H16,monoterpenes,136.2,TERP,e_terp,
C7H8,toluene and other monoalkyl aromatics,92.1,TOL,e_tol,
UNK,,1,UNK,,
UNR,"Unreactivecarbongroups(e.g.,halogenatedcarbons)",1,UNR,,
VOC,,1,VOC_INV,,
C8H10,xylene and other polyalkyl aromatics except naphthalene,106.2,XYLMN,e_xyl,
PMFINE,PM2.5,,PMFINE,e_pm25,
