ID,MM
ACET,58.1
ACROLEIN,56.1
ALD2,44
ALD2_PRIMARY,44
ALDX,58.1
BENZ,78.1
BUTADIENE13,54
CH4,16
CH4_INV,1
CL2,72
CO,28
CO2_INV,1
ETH,28
ETHA,30.1
ETHY,26
ETOH,46.1
FORM,30
FORM_PRIMARY,30
HCL,36.5
HONO,47
IOLE,56.1
ISO,68.1
KET,72.1
MEOH,32
N2O_INV,1
NAPH,128.2
NH3,17
NH3_FERT,17
NO,30
NO2,46
NVOL,1
OLE,42.1
PAL,1
PAR,72.1
PCA,1
PCL,1
PEC,1
PFE,1
PH2O,1
PK,1
PMC,1
PMG,1
PMN,1
PMOTHR,1
PNA,1
PNCOM,1
PNH4,1
PNO3,1
POC,1
PRPA,44.1
PSI,1
PSO4,1
PTI,1
SO2,62
SOAALK,112
SULF,98
TERP,136.2
TOL,92.1
UNK,1
UNR,1
VOC_INV,1
XYLMN,106.2
