ID,MM,AREA,TIME,CONV
ACET,58.1,1,3600,209160000000
ACROLEIN,56.1,1,3600,201960000000
ALD2,44,1,3600,158400000000
ALD2_PRIMARY,44,1,3600,158400000000
ALDX,58.1,1,3600,209160000000
BENZ,78.1,1,3600,281160000000
BUTADIENE13,54,1,3600,194400000000
CH4,16,1,3600,57600000000
CH4_INV,1,1,3600,3600000000
CL2,72,1,3600,259200000000
CO,28,1,3600,100800000000
CO2_INV,44,1,3600,158400000000
ETH,28,1,3600,100800000000
ETHA,30.1,1,3600,108360000000
ETHY,26,1,3600,93600000000
ETOH,46.1,1,3600,165960000000
FORM,30,1,3600,108000000000
FORM_PRIMARY,30,1,3600,108000000000
HCL,36.5,1,3600,131400000000
HONO,47,1,3600,169200000000
IOLE,56.1,1,3600,201960000000
ISO,68.1,1,3600,245160000000
KET,72.1,1,3600,259560000000
MEOH,32,1,3600,115200000000
N2O_INV,1,1,3600,3600000000
NAPH,128.2,1,3600,461520000000
NH3,17,1,3600,61200000000
NH3_FERT,17,1,3600,61200000000
NO,30,1,3600,108000000000
NO2,46,1,3600,165600000000
NVOL,1,1,3600,3600000000
OLE,42.1,1,3600,151560000000
PAL,1,1000000,1,1
PAR,72.1,1,3600,259560000000
PCA,1,1000000,1,1
PCL,1,1000000,1,1
PEC,1,1000000,1,1
PFE,1,1000000,1,1
PH2O,1,1000000,1,1
PK,1,1000000,1,1
PMC,1,1000000,1,1
PMG,1,1000000,1,1
PMN,1,1000000,1,1
PMOTHR,1,1000000,1,1
PNA,1,1000000,1,1
PNCOM,1,1000000,1,1
PNH4,1,1000000,1,1
PNO3,1,1000000,1,1
POC,1,1000000,1,1
PRPA,44.1,1,3600,158760000000
PSI,1,1000000,1,1
PSO4,1,1000000,1,1
PTI,1,1000000,1,1
SO2,62,1,3600,223200000000
SOAALK,112,1,3600,403200000000
SULF,98,1,3600,352800000000
TERP,136.2,1,3600,490320000000
TOL,92.1,1,3600,331560000000
UNK,1,1000000,1,1
UNR,1,1000000,1,1
VOC_INV,1,1,3600,3600000000
XYLMN,106.2,1,3600,382320000000
PMFINE,1,1000000,1,1
